Survey Year,sample_definition,Variable,Category,Count,Percentage,Missing N,Missing %
2006,full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,"20,000-29,999 元",11,0.002032895952688967,602,0.10011641443538999
2006,full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,"3,000-3,999 元",618,0.11421179079652559,602,0.10011641443538999
2006,full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,"30,000 元及以上，請記錄________元",2,3.6961744594344855e-4,602,0.10011641443538999
2006,full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,"4,000-4,999 元",470,0.0868600997967104,602,0.10011641443538999
2006,full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,"5,000-6,999 元",899,0.1661430419515801,602,0.10011641443538999
2006,full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,"7,000-9,999 元",516,0.09536130105340972,602,0.10011641443538999
2006,full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,999 元及以下,769,0.14211790796525595,602,0.10011641443538999
2006,full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,沒有這項支出,42,0.007761966364812419,602,0.10011641443538999
2006,full_sample,EXP_TRAVEL_EXPENDITURE,"1,000-1,999元",243,0.0404124397139531,0,0
2006,full_sample,EXP_TRAVEL_EXPENDITURE,"10,000-14,999元",14,0.002328288707799767,0,0
2006,full_sample,EXP_TRAVEL_EXPENDITURE,"15,000-19,999元",7,0.0011641443538998836,0,0
2006,full_sample,EXP_TRAVEL_EXPENDITURE,"2,000-2,999元",168,0.027939464493597205,0,0
2006,full_sample,EXP_TRAVEL_EXPENDITURE,"20,000-29,999元",7,0.0011641443538998836,0,0
2006,full_sample,EXP_TRAVEL_EXPENDITURE,"3,000-3,999元",72,0.01197405621154166,0,0
2006,full_sample,EXP_TRAVEL_EXPENDITURE,"4,000-4,999元",99,0.01646432729086978,0,0
2006,full_sample,EXP_TRAVEL_EXPENDITURE,"5,000-6,999元",115,0.01912522867121237,0,0
2006,full_sample,EXP_TRAVEL_EXPENDITURE,50000,2,3.326126725428239e-4,0,0
2006,full_sample,EXP_TRAVEL_EXPENDITURE,60000,1,1.6630633627141194e-4,0,0
2006,full_sample,EXP_TRAVEL_EXPENDITURE,"7,000-9,999元",11,0.0018293696989855313,0,0
2006,full_sample,EXP_TRAVEL_EXPENDITURE,999元及以下,361,0.06003658739397971,0,0
2006,full_sample,EXP_TRAVEL_EXPENDITURE,不知道/拒答,82,0.01363711957425578,0,0
2006,full_sample,EXP_TRAVEL_EXPENDITURE,沒有這項支出,4831,0.803425910527191,0,0
2006,full_sample,HOUSE_BELONG,借用,265,0.044151949350216595,11,0.0018293696989855313
