"DATA_Y","CITY","COUNTY","variable","non_missing_n","mean","median","sd","min","max"
2002,"新竹縣","新埔鎮芎林鄉橫山鄉","N_INDI_16_54",0,,,,,
2002,"新竹縣","新埔鎮芎林鄉橫山鄉","N_INDI_55PLUS",0,,,,,
2002,"新竹縣","新埔鎮芎林鄉橫山鄉","N_INDI_55_64",0,,,,,
2002,"新竹縣","新埔鎮芎林鄉橫山鄉","N_INDI_65PLUS",0,,,,,
2002,"新竹縣","新埔鎮芎林鄉橫山鄉","N_INDI_7_15",0,,,,,
2002,"新竹縣","新埔鎮芎林鄉橫山鄉","N_INDI_UNDER6",0,,,,,
2002,"新竹縣","湖口鄉","N_FAMILY",49,5.40816326530612,5,1.91396585813918,2,11
2002,"新竹縣","湖口鄉","N_INDI",49,3.02040816326531,3,1.86513846579782,1,7
2002,"新竹縣","湖口鄉","N_INDI_16_54",0,,,,,
2002,"新竹縣","湖口鄉","N_INDI_55PLUS",0,,,,,
2002,"新竹縣","湖口鄉","N_INDI_55_64",0,,,,,
2002,"新竹縣","湖口鄉","N_INDI_65PLUS",0,,,,,
2002,"新竹縣","湖口鄉","N_INDI_7_15",0,,,,,
2002,"新竹縣","湖口鄉","N_INDI_UNDER6",0,,,,,
2002,"新竹縣","竹北市新豐鄉","N_FAMILY",57,4.87719298245614,5,1.87149840119199,1,10
2002,"新竹縣","竹北市新豐鄉","N_INDI",57,3.03508771929825,3,1.8416308017692,1,8
2002,"新竹縣","竹北市新豐鄉","N_INDI_16_54",0,,,,,
2002,"新竹縣","竹北市新豐鄉","N_INDI_55PLUS",0,,,,,
2002,"新竹縣","竹北市新豐鄉","N_INDI_55_64",0,,,,,
2002,"新竹縣","竹北市新豐鄉","N_INDI_65PLUS",0,,,,,
2002,"新竹縣","竹北市新豐鄉","N_INDI_7_15",0,,,,,
2002,"新竹縣","竹北市新豐鄉","N_INDI_UNDER6",0,,,,,
2002,"新竹縣","竹東鎮","N_FAMILY",52,4.84615384615385,5,1.77548242971318,1,8
2002,"新竹縣","竹東鎮","N_INDI",52,4.36538461538461,4.5,1.83675807915123,1,8
2002,"新竹縣","竹東鎮","N_INDI_16_54",0,,,,,
2002,"新竹縣","竹東鎮","N_INDI_55PLUS",0,,,,,
2002,"新竹縣","竹東鎮","N_INDI_55_64",0,,,,,
2002,"新竹縣","竹東鎮","N_INDI_65PLUS",0,,,,,
2002,"新竹縣","竹東鎮","N_INDI_7_15",0,,,,,
2002,"新竹縣","竹東鎮","N_INDI_UNDER6",0,,,,,
2002,"新竹縣","關西鎮","N_FAMILY",26,4.46153846153846,5,1.83805917708368,2,8
2002,"新竹縣","關西鎮","N_INDI",26,4,4,1.87616630392937,1,8
2002,"新竹縣","關西鎮","N_INDI_16_54",0,,,,,
2002,"新竹縣","關西鎮","N_INDI_55PLUS",0,,,,,
2002,"新竹縣","關西鎮","N_INDI_55_64",0,,,,,
2002,"新竹縣","關西鎮","N_INDI_65PLUS",0,,,,,
2002,"新竹縣","關西鎮","N_INDI_7_15",0,,,,,
2002,"新竹縣","關西鎮","N_INDI_UNDER6",0,,,,,
2002,"桃園縣","中壢市","N_FAMILY",55,4.70909090909091,5,1.49904571215759,1,9
2002,"桃園縣","中壢市","N_INDI",55,4.12727272727273,4,1.78527459714336,1,9
2002,"桃園縣","中壢市","N_INDI_16_54",0,,,,,
2002,"桃園縣","中壢市","N_INDI_55PLUS",0,,,,,
2002,"桃園縣","中壢市","N_INDI_55_64",0,,,,,
2002,"桃園縣","中壢市","N_INDI_65PLUS",0,,,,,
2002,"桃園縣","中壢市","N_INDI_7_15",0,,,,,
