variable,103_present,106_present,106-_present,91-1_label,91-1_type,91-1_present,91-2_label,91-2_type,91-2_present,95_present,99_present,95_label,95_type,103_label,103_type,106_label,106_type,106-_label,106-_type,99_label,99_type,years_count
m7_5_1,0,1,1,,,0,,,0,0,0,,,,,M7-5.您家庭過去一年有沒有以下支出(複選)?各項貸款/跟會的利息,haven_labelled,M7-5.您家庭過去一年有沒有以下支出(複選)?各項貸款/跟會的利息,haven_labelled,,,2
m7_4_2o,0,1,1,,,0,,,0,0,0,,,,,"M7-4.您家庭過去一年平均每個月支出金額：國內外跟團旅遊/運動/電影/展覽/音樂會(11)30,000元",numeric,"M7-4.您家庭過去一年平均每個月支出金額：國內外跟團旅遊/運動/電影/展覽/音樂會(11)30,000元",numeric,,,2
m7_4_2,0,1,1,,,0,,,0,0,0,,,,,M7-4.您家庭過去一年平均每個月支出金額：國內外跟團旅遊/運動/電影/展覽/音樂會,haven_labelled,M7-4.您家庭過去一年平均每個月支出金額：國內外跟團旅遊/運動/電影/展覽/音樂會,haven_labelled,,,2
m7_4_1,0,1,1,,,0,,,0,0,0,,,,,M7-4.您家庭過去一年有沒有以下支出(複選)?國內外跟團旅遊/運動/電影/展覽/音樂會,haven_labelled,M7-4.您家庭過去一年有沒有以下支出(複選)?國內外跟團旅遊/運動/電影/展覽/音樂會,haven_labelled,,,2
m7_3_2o,0,1,1,,,0,,,0,0,0,,,,,"M7-3.您家庭過去一年平均每個月支出金額：報紙雜誌書籍文具(11)30,000元以上，請記錄__元",numeric,"M7-3.您家庭過去一年平均每個月支出金額：報紙雜誌書籍文具(11)30,000元以上，請記錄__元",numeric,,,2
m7_3_2,0,1,1,,,0,,,0,0,0,,,,,M7-3.您家庭過去一年平均每個月支出金額：報紙雜誌書籍文具,haven_labelled,M7-3.您家庭過去一年平均每個月支出金額：報紙雜誌書籍文具,haven_labelled,,,2
j7_5_1,1,0,0,,,0,,,0,0,1,,,J7-5.「各項貸款/跟會的利息」支出有無,haven_labelled,,,,,J7_5.請問您家庭過去一年有沒有買衣服/鞋子/襪子各項衣物的支出,haven_labelled,2
b01,0,0,0,訪員編號,numeric,1,訪員編號,numeric,1,0,0,,,,,,,,,,,2
q23c,0,0,0,23-3.請問每個月家庭平均支出中，醫療保健費用是多少?(包括看病的掛號費或藥費及個人買的,haven_labelled,1,23-3.請問每個月家庭平均支出中，醫療保健費用是多少?(包括看病的掛號費或藥費及個人買的,haven_labelled,1,0,0,,,,,,,,,,,2
q23,0,0,0,23.請問您每個月家庭平均支出是多少?,haven_labelled,1,23.請問您每個月家庭平均支出是多少?,haven_labelled,1,0,0,,,,,,,,,,,2
g9,0,1,1,,,0,,,0,0,0,,,,,G9.經濟戶長從事的原住民文化創意產業性質為何?,haven_labelled,G9.經濟戶長從事的原住民文化創意產業性質為何?,haven_labelled,,,2
g9_o,0,1,1,,,0,,,0,0,0,,,,,G9.經濟戶長從事的原住民文化創意產業性質為何?其他(請說明),character,G9.經濟戶長從事的原住民文化創意產業性質為何?其他(請說明),character,,,2
q24,0,0,0,24.請問您的配偶有沒有在工作?,haven_labelled,1,24.請問您的配偶有沒有在工作?,haven_labelled,1,0,0,,,,,,,,,,,2
q23d,0,0,0,23-4.請問每個月家庭平均支出中，運輸交通與通訊花費是多少?(油錢、電話費、公車費、汽機,haven_labelled,1,23-4.請問每個月家庭平均支出中，運輸交通與通訊花費是多少?(油錢、電話費、公車費、汽機,haven_labelled,1,0,0,,,,,,,,,,,2
h6_1_1,0,1,1,,,0,,,0,0,0,,,,,H6-1.您們家目前有房屋貸款，是向哪些單位借房屋貸款(複選)?單位一,haven_labelled,H6-1.您們家目前有房屋貸款，是向哪些單位借房屋貸款(複選)?單位一,haven_labelled,,,2
h6_1_2,0,1,1,,,0,,,0,0,0,,,,,H6-1.您們家目前有房屋貸款，是向哪些單位借房屋貸款(複選)?單位二,haven_labelled,H6-1.您們家目前有房屋貸款，是向哪些單位借房屋貸款(複選)?單位二,haven_labelled,,,2
h6_1o,0,1,1,,,0,,,0,0,0,,,,,H6-1.您們家目前有房屋貸款，是向哪些單位借房屋貸款(複選)?其他(請說明),character,H6-1.您們家目前有房屋貸款，是向哪些單位借房屋貸款(複選)?其他(請說明),character,,,2
h6_2,0,1,1,,,0,,,0,0,0,,,,,H6-2.您家中目前的房屋貸款總共借(貸)了多少錢?,haven_labelled,H6-2.您家中目前的房屋貸款總共借(貸)了多少錢?,haven_labelled,,,2
h6_2o,0,1,1,,,0,,,0,0,0,,,,,"H6-2.您家中目前的房屋貸款總共借(貸)了多少錢?(13)1,000萬元及以上，請紀錄__萬元",numeric,"H6-2.您家中目前的房屋貸款總共借(貸)了多少錢?(13)1,000萬元及以上，請紀錄__萬元",numeric,,,2
h6_3,0,1,1,,,0,,,0,0,0,,,,,H6-3.您家中每個月房屋貸款要繳多少錢(過去一年平均每個月的繳款金額)?,haven_labelled,H6-3.您家中每個月房屋貸款要繳多少錢(過去一年平均每個月的繳款金額)?,haven_labelled,,,2
h6_3o,0,1,1,,,0,,,0,0,0,,,,,"H6-3.您家中每個月房屋貸款要繳多少錢?(11)70,000元及以上，請紀錄__元",numeric,"H6-3.您家中每個月房屋貸款要繳多少錢?(11)70,000元及以上，請紀錄__元",numeric,,,2
q23b,0,0,0,23-2.請問每個月家庭平均支出中，酒、菸、檳榔等消費是多少?,haven_labelled,1,23-2.請問每個月家庭平均支出中，酒、菸、檳榔等消費是多少?,haven_labelled,1,0,0,,,,,,,,,,,2
q23a,0,0,0,23-1.請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,haven_labelled,1,23-1.請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,haven_labelled,1,0,0,,,,,,,,,,,2
q22c,0,0,0,22-3.請問全家每個月平均收入中，其他收入是多少?(利息、租金、民間團體補助、退休俸、兒,haven_labelled,1,22-3.請問全家每個月平均收入中，其他收入是多少?(利息、租金、民間團體補助、退休俸、兒,haven_labelled,1,0,0,,,,,,,,,,,2
i2_3o,0,1,1,,,0,,,0,0,0,,,,,"I2-3.經濟戶長每個月要繳納的創業貸款總共是多少?(14)70,000元以上，請記錄__元",numeric,"I2-3.經濟戶長每個月要繳納的創業貸款總共是多少?(14)70,000元以上，請記錄__元",numeric,,,2
i1_1_1,0,1,1,,,0,,,0,0,0,,,,,I1.經濟戶長向哪些單位借信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性,haven_labelled,I1.經濟戶長向哪些單位借信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性,haven_labelled,,,2
i1_1_2,0,1,1,,,0,,,0,0,0,,,,,I1.經濟戶長向哪些單位借信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性,haven_labelled,I1.經濟戶長向哪些單位借信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性,haven_labelled,,,2
i1_1o,0,1,1,,,0,,,0,0,0,,,,,I1.經濟戶長向哪些單位借信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性,character,I1.經濟戶長向哪些單位借信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性,character,,,2
i1_2,0,1,1,,,0,,,0,0,0,,,,,I1-2.經濟戶長的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款總共,haven_labelled,I1-2.經濟戶長的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款總共,haven_labelled,,,2
i1_2o,0,1,1,,,0,,,0,0,0,,,,,I1-2.經濟戶長的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款總共,numeric,I1-2.經濟戶長的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款總共,numeric,,,2
i1_3,0,1,1,,,0,,,0,0,0,,,,,I1-3.經濟戶長每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的,haven_labelled,I1-3.經濟戶長每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的,haven_labelled,,,2
i1_3o,0,1,1,,,0,,,0,0,0,,,,,I1-3.經濟戶長每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的,numeric,I1-3.經濟戶長每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的,numeric,,,2
q22b,0,0,0,22-2.請問全家每個月平均收入中，政府補助及津貼收入是多少?,haven_labelled,1,22-2.請問全家每個月平均收入中，政府補助及津貼收入是多少?,haven_labelled,1,0,0,,,,,,,,,,,2
i2_1_1,0,1,1,,,0,,,0,0,0,,,,,I2-1.經濟戶長向哪些單位申請或借創業貸款(複選)?單位一,haven_labelled,I2-1.經濟戶長向哪些單位申請或借創業貸款(複選)?單位一,haven_labelled,,,2
i2_1_2,0,1,1,,,0,,,0,0,0,,,,,I2-1.經濟戶長向哪些單位申請或借創業貸款(複選)?單位二,haven_labelled,I2-1.經濟戶長向哪些單位申請或借創業貸款(複選)?單位二,haven_labelled,,,2
i2_1o,0,1,1,,,0,,,0,0,0,,,,,I2-1.經濟戶長向哪些單位申請或借創業貸款(複選)?(5)其他(請說明),character,I2-1.經濟戶長向哪些單位申請或借創業貸款(複選)?(5)其他(請說明),character,,,2
i2_2,0,1,1,,,0,,,0,0,0,,,,,I2-2.經濟戶長的創業貸款總共借了多少錢?,haven_labelled,I2-2.經濟戶長的創業貸款總共借了多少錢?,haven_labelled,,,2
i2_2o,0,1,1,,,0,,,0,0,0,,,,,"I2-2.經濟戶長的創業貸款總共借了多少錢?(13)1,000萬元及以上，請記錄__萬元",numeric,"I2-2.經濟戶長的創業貸款總共借了多少錢?(13)1,000萬元及以上，請記錄__萬元",numeric,,,2
q25,0,0,0,25.為了改善您的經濟狀況，請問您希不希望您的配偶也外出工作?,haven_labelled,1,25.為了改善您的經濟狀況，請問您希不希望您的配偶也外出工作?,haven_labelled,1,0,0,,,,,,,,,,,2
q25a,0,0,0,25-1.請問您為什麼不希望您的配偶外出工作?,haven_labelled,1,25-1.請問您為什麼不希望您的配偶外出工作?,haven_labelled,1,0,0,,,,,,,,,,,2
q26,0,0,0,26.為了改善您的經濟狀況，請問您或您的家人需不需要政府幫忙?,haven_labelled,1,26.為了改善您的經濟狀況，請問您或您的家人需不需要政府幫忙?,haven_labelled,1,0,0,,,,,,,,,,,2
q26a,0,0,0,26-1.您或您的家人最需要政府幫忙的事項是：,haven_labelled,1,26-1.您或您的家人最需要政府幫忙的事項是：,haven_labelled,1,0,0,,,,,,,,,,,2
w1,1,0,0,,,0,,,0,0,1,,,樣本權數,numeric,,,,,擴大係數,numeric,2
f1_1_10,0,1,1,,,0,,,0,0,0,,,,,F1-1-10.與您同戶籍且共同生活的人(包括自己且不限原住民)，55-64歲的非原住民有幾位?,haven_labelled,F1-1-10.與您同戶籍且共同生活的人(包括自己且不限原住民)，55-64歲的非原住民有幾位?,haven_labelled,,,2
f1_1_11,0,1,1,,,0,,,0,0,0,,,,,F1-1-11.與您同戶籍且共同生活的人(包括自己且不限原住民)，65歲以上的非原住民有幾位?,haven_labelled,F1-1-11.與您同戶籍且共同生活的人(包括自己且不限原住民)，65歲以上的非原住民有幾位?,haven_labelled,,,2
f1_1_12,0,1,1,,,0,,,0,0,0,,,,,F1-1-12.與您同戶籍且共同生活的人(包括自己且不限原住民)，非原住民總計有幾位?,haven_labelled,F1-1-12.與您同戶籍且共同生活的人(包括自己且不限原住民)，非原住民總計有幾位?,haven_labelled,,,2
f1_1_6,0,1,1,,,0,,,0,0,0,,,,,F1-6-5.與您同戶籍且共同生活的人(包括自己且不限原住民)，原住民總計有幾位?,haven_labelled,F1-6-5.與您同戶籍且共同生活的人(包括自己且不限原住民)，原住民總計有幾位?,haven_labelled,,,2
f1_1_7,0,1,1,,,0,,,0,0,0,,,,,F1-1-7.與您同戶籍且共同生活的人(包括自己且不限原住民)，6歲以下的非原住民有幾位?,haven_labelled,F1-1-7.與您同戶籍且共同生活的人(包括自己且不限原住民)，6歲以下的非原住民有幾位?,haven_labelled,,,2
f1_1_8,0,1,1,,,0,,,0,0,0,,,,,F1-1-8.與您同戶籍且共同生活的人(包括自己且不限原住民)，7-15歲的非原住民有幾位?,haven_labelled,F1-1-8.與您同戶籍且共同生活的人(包括自己且不限原住民)，7-15歲的非原住民有幾位?,haven_labelled,,,2
f1_1_9,0,1,1,,,0,,,0,0,0,,,,,F1-1-9.與您同戶籍且共同生活的人(包括自己且不限原住民)，16-54歲的非原住民有幾位?,haven_labelled,F1-1-9.與您同戶籍且共同生活的人(包括自己且不限原住民)，16-54歲的非原住民有幾位?,haven_labelled,,,2
f2_1,1,0,0,,,0,,,0,0,1,,,F2-1.請問您的先生/太太所屬的族別?(若有雙重族別，請詢問登記的族別為何),haven_labelled,,,,,F2_1.其中原住民有幾位？(F2-1-1~F2-1-5的總合),numeric,2
f3_1,1,0,0,,,0,,,0,0,1,,,F3.請問您家庭的主要經濟來源是什麼?(可複選，超過總收入五分之一者皆算入主要經濟來源),haven_labelled,,,,,F3-1.請問您的先生/太太所屬的族別？,haven_labelled,2
f4_2,0,1,1,,,0,,,0,0,0,,,,,F4.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?來源二,haven_labelled,F4.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?來源二,haven_labelled,,,2
q7f,0,0,0,7.(4)年齡在60歲及以上的原住民有幾位,haven_labelled,1,7.(4)年齡在60歲及以上的原住民有幾位,haven_labelled,1,0,0,,,,,,,,,,,2
q7e,0,0,0,7.(3)年齡在13歲~18歲的原住民有幾位,haven_labelled,1,7.(3)年齡在13歲~18歲的原住民有幾位,haven_labelled,1,0,0,,,,,,,,,,,2
q7d,0,0,0,7.(2)年齡在7歲~12歲的原住民有幾位,haven_labelled,1,7.(2)年齡在7歲~12歲的原住民有幾位,haven_labelled,1,0,0,,,,,,,,,,,2
q7c,0,0,0,7.(1)年齡在6歲及以下的原住民有幾位,haven_labelled,1,7.(1)年齡在6歲及以下的原住民有幾位,haven_labelled,1,0,0,,,,,,,,,,,2
q7b,0,0,0,7.其中原住民有幾位?,haven_labelled,1,7.其中原住民有幾位?,haven_labelled,1,0,0,,,,,,,,,,,2
q7a,0,0,0,7.請問目前與您住在一起共同生活的(包括您自己)總共有幾個人?,haven_labelled,1,7.請問目前與您住在一起共同生活的(包括您自己)總共有幾個人?,haven_labelled,1,0,0,,,,,,,,,,,2
f4_3,0,1,1,,,0,,,0,0,0,,,,,F4.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?來源三,haven_labelled,F4.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?來源三,haven_labelled,,,2
f4_4,0,1,1,,,0,,,0,0,0,,,,,F4.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?來源四,haven_labelled,F4.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?來源四,haven_labelled,,,2
f4o,0,1,1,,,0,,,0,0,0,,,,,F4.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?其他，,character,F4.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?其他，,character,,,2
q6a,0,0,0,6-1.請問他(她)所屬的族別?,haven_labelled,1,6-1.請問他(她)所屬的族別?,haven_labelled,1,0,0,,,,,,,,,,,2
q5,0,0,0,5.請問您的婚姻狀況是?,haven_labelled,1,5.請問您的婚姻狀況是?,haven_labelled,1,0,0,,,,,,,,,,,2
q28,0,0,0,受訪身分,haven_labelled,1,受訪身分,haven_labelled,1,0,0,,,,,,,,,,,2
g6_n,0,1,1,,,0,,,0,0,0,,,,,G6.經濟戶長的配偶屬於以下那種身分：新住民(國籍：__),character,G6.經濟戶長的配偶屬於以下那種身分：新住民(國籍：__),character,,,2
q27b,0,0,0,27-2.請問您不會申請貸款的原因?,haven_labelled,1,27-2.請問您不會申請貸款的原因?,haven_labelled,1,0,0,,,,,,,,,,,2
q27a,0,0,0,27-1.請問您會貸多少款項?(萬元),haven_labelled,1,27-1.請問您會貸多少款項?(萬元),haven_labelled,1,0,0,,,,,,,,,,,2
q27,0,0,0,27.假如為了改善原住民經濟狀況，政府提供一筆15年年利率固定3%的低利貸款，前三年僅繳利,haven_labelled,1,27.假如為了改善原住民經濟狀況，政府提供一筆15年年利率固定3%的低利貸款，前三年僅繳利,haven_labelled,1,0,0,,,,,,,,,,,2
i2_3,0,1,1,,,0,,,0,0,0,,,,,I2-3.經濟戶長每個月要繳納的創業貸款總共是多少?【過去一年平均每個月的金額】,haven_labelled,I2-3.經濟戶長每個月要繳納的創業貸款總共是多少?【過去一年平均每個月的金額】,haven_labelled,,,2
j7_4_1,1,0,0,,,0,,,0,0,1,,,J7-4.「國內外跟團旅遊/運動娛樂消遣」支出有無,haven_labelled,,,,,J7_4.請問您家庭過去一年有沒有利息/各項貸款/跟會的支出,haven_labelled,2
i7,1,0,0,,,0,,,0,0,1,,,I7.包含您本人，全家每個月的「房屋、土地出租租金」收入總共是多少?【過去ㄧ年平均每個,haven_labelled,,,,,I7.包含您本人，全家每個月除了以上這些收入以外的「其他」收入總共是多少？【過去ㄧ年,haven_labelled,2
j6_o,0,1,1,,,0,,,0,0,0,,,,,"J6.除了以上這些收入以外，經濟戶長個人每個月「其他雜項」收入總共是多少?(12)80,000元以",numeric,"J6.除了以上這些收入以外，經濟戶長個人每個月「其他雜項」收入總共是多少?(12)80,000元以",numeric,,,2
q20,0,0,0,20.請問您有沒有房屋貸款?,haven_labelled,1,20.請問您有沒有房屋貸款?,haven_labelled,1,0,0,,,,,,,,,,,2
q20a,0,0,0,20-1.請問您每個月房屋貸款本金和利息總共是多少?,haven_labelled,1,20-1.請問您每個月房屋貸款本金和利息總共是多少?,haven_labelled,1,0,0,,,,,,,,,,,2
j2_o,0,1,1,,,0,,,0,0,0,,,,,J2.經濟戶長個人每個月接受「政府津貼補助、各種社會保險、私人保險受益」收入總共是多,numeric,J2.經濟戶長個人每個月接受「政府津貼補助、各種社會保險、私人保險受益」收入總共是多,numeric,,,2
i5,1,0,0,,,0,,,0,0,1,,,I5.包含您本人，全家每個月接受「紅白包禮金、私人發給救濟金/慰問金、向私人借住房屋省,haven_labelled,,,,,I5.包含您本人，全家每個月的「房屋、土地出租租金」收入總共是多少？【過去ㄧ年平均每,haven_labelled,2
q21,0,0,0,21.請問您全家每個月平均總共收入是多少(所有人)?,haven_labelled,1,21.請問您全家每個月平均總共收入是多少(所有人)?,haven_labelled,1,0,0,,,,,,,,,,,2
i4_3o,0,1,1,,,0,,,0,0,0,,,,,"I4-3.經濟戶長每個月要繳納的其他貸款總共是多少?(14)70,000元，請記錄__元",numeric,"I4-3.經濟戶長每個月要繳納的其他貸款總共是多少?(14)70,000元，請記錄__元",numeric,,,2
i4_3,0,1,1,,,0,,,0,0,0,,,,,I4-3.經濟戶長每個月要繳納的其他貸款總共是多少?【過去一年平均每個月的金額】,haven_labelled,I4-3.經濟戶長每個月要繳納的其他貸款總共是多少?【過去一年平均每個月的金額】,haven_labelled,,,2
i4_2,0,1,1,,,0,,,0,0,0,,,,,I4-2.經濟戶長的其他貸款總共借了多少錢?,haven_labelled,I4-2.經濟戶長的其他貸款總共借了多少錢?,haven_labelled,,,2
j5_o,0,1,1,,,0,,,0,0,0,,,,,"J5.經濟戶長個人每個月的「房屋、土地出租租金」收入總共是多少?(12)80,000元以上，請記錄__",numeric,"J5.經濟戶長個人每個月的「房屋、土地出租租金」收入總共是多少?(12)80,000元以上，請記錄__",numeric,,,2
i4_1o,0,1,1,,,0,,,0,0,0,,,,,I4-1.經濟戶長向哪些單位借貸(複選)?(4)其他(請說明),character,I4-1.經濟戶長向哪些單位借貸(複選)?(4)其他(請說明),character,,,2
j7_2_1,1,0,0,,,0,,,0,0,1,,,J7-2.「各項學費/補習費/家教費」支出有無,haven_labelled,,,,,J7-2.請問您家庭過去一年有沒有各項學費/補習費/報紙雜誌書籍文具的支出,haven_labelled,2
j4_o,0,1,1,,,0,,,0,0,0,,,,,J4.經濟戶長個人每個月的「存款利息、跟會利息、股票利息、各種投資利息」收入總共是多,numeric,J4.經濟戶長個人每個月的「存款利息、跟會利息、股票利息、各種投資利息」收入總共是多,numeric,,,2
q17,0,0,0,17.請問您住宅的面積有多少坪(建坪)?,haven_labelled,1,17.請問您住宅的面積有多少坪(建坪)?,haven_labelled,1,0,0,,,,,,,,,,,2
j3_o,0,1,1,,,0,,,0,0,0,,,,,J3.經濟戶長個人每個月「紅白包禮金、私人發給救濟金/慰問金/獎助學金、向私人借住房屋,numeric,J3.經濟戶長個人每個月「紅白包禮金、私人發給救濟金/慰問金/獎助學金、向私人借住房屋,numeric,,,2
j7_2_2,1,0,0,,,0,,,0,0,1,,,J7-2.「各項學費/補習費/家教費」支出金額,haven_labelled,,,,,J7-2.平均每個月支出金額,haven_labelled,2
q19,0,0,0,19.請問您每個月的租金是多少?,haven_labelled,1,19.請問您每個月的租金是多少?,haven_labelled,1,0,0,,,,,,,,,,,2
j1_o,0,1,1,,,0,,,0,0,0,,,,,J1.經濟戶長個人每個月「工作薪水、兼差薪水、加班費、退休金、年終獎金，以及從事農林,numeric,J1.經濟戶長個人每個月「工作薪水、兼差薪水、加班費、退休金、年終獎金，以及從事農林,numeric,,,2
q18,0,0,0,18.請問您的住宅是自有、租賃、配住、借用?,haven_labelled,1,18.請問您的住宅是自有、租賃、配住、借用?,haven_labelled,1,0,0,,,,,,,,,,,2
i4_1_2,0,1,1,,,0,,,0,0,0,,,,,I4-1.經濟戶長向哪些單位借貸(複選)?單位二,haven_labelled,I4-1.經濟戶長向哪些單位借貸(複選)?單位二,haven_labelled,,,2
i4_1_1,0,1,1,,,0,,,0,0,0,,,,,I4-1.經濟戶長向哪些單位借貸(複選)?單位一,haven_labelled,I4-1.經濟戶長向哪些單位借貸(複選)?單位一,haven_labelled,,,2
q22a,0,0,0,22-1.請問全家每個月平均收入中，工作收入是多少?,haven_labelled,1,22-1.請問全家每個月平均收入中，工作收入是多少?,haven_labelled,1,0,0,,,,,,,,,,,2
i3_2o,0,1,1,,,0,,,0,0,0,,,,,"I3-2.經濟戶長每個月要還款的金額，總共是多少?(私人借貸，例如向親友錢買房車)(14)70,000元",numeric,"I3-2.經濟戶長每個月要還款的金額，總共是多少?(私人借貸，例如向親友錢買房車)(14)70,000元",numeric,,,2
i3_2,0,1,1,,,0,,,0,0,0,,,,,I3-2.經濟戶長每個月要還款的金額，總共是多少?(私人借貸，例如向親友錢買房車)【過去一,haven_labelled,I3-2.經濟戶長每個月要還款的金額，總共是多少?(私人借貸，例如向親友錢買房車)【過去一,haven_labelled,,,2
i3_1o,0,1,1,,,0,,,0,0,0,,,,,"I3-1.經濟戶長向親友、雇主、店家等借錢、預支薪水、賒帳的金額大約多少?(16)100,000元以上",numeric,"I3-1.經濟戶長向親友、雇主、店家等借錢、預支薪水、賒帳的金額大約多少?(16)100,000元以上",numeric,,,2
i3_1,0,1,1,,,0,,,0,0,0,,,,,I3-1.經濟戶長向親友、雇主、店家等借錢、預支薪水、賒帳的金額大約多少?,haven_labelled,I3-1.經濟戶長向親友、雇主、店家等借錢、預支薪水、賒帳的金額大約多少?,haven_labelled,,,2
j7_3_1,1,0,0,,,0,,,0,0,1,,,J7-3.「報紙雜誌書籍文具」支出有無,haven_labelled,,,,,J7_3.請問您家庭過去一年有沒有國內外旅遊/運動娛樂消遣的支出,haven_labelled,2
j7_3_2,1,0,0,,,0,,,0,0,1,,,J7-3.「報紙雜誌書籍文具」支出金額,haven_labelled,,,,,J7_3.平均每個月支出金額,haven_labelled,2
j7_1_1,1,0,0,,,0,,,0,0,1,,,J7-1.「打掃家庭/洗衣洗碗/請佣人」的支出有無,haven_labelled,,,,,J7-1.請問您家庭過去一年有沒有打掃家庭/洗衣洗碗/請傭人的支出,haven_labelled,2
j7_1_2,1,0,0,,,0,,,0,0,1,,,J7-1.「打掃家庭/洗衣洗碗/請佣人」的支出金額,haven_labelled,,,,,J7-1.平均每個月支出金額,haven_labelled,2
i4_2o,0,1,1,,,0,,,0,0,0,,,,,"I4-2.經濟戶長的其他貸款總共借了多少錢?(13)1,000萬元以上，請記錄__萬元",numeric,"I4-2.經濟戶長的其他貸款總共借了多少錢?(13)1,000萬元以上，請記錄__萬元",numeric,,,2
q163_2,0,0,0,,,0,,,0,1,0,Q16-3.希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊?【可複選,haven_labelled,,,,,,,,,1
q163_1,0,0,0,,,0,,,0,1,0,Q16-3.希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊?【可複選,haven_labelled,,,,,,,,,1
s31_13,0,0,0,,,0,,,0,1,0,S3-1.請問您居住在【載入S3回答之縣(市)】的哪一個鄉鎮市區?,haven_labelled,,,,,,,,,1
q162_5,0,0,0,,,0,,,0,1,0,Q16-2.您或您的家人沒有申請「原住民綜合發展基金貸款」的原因有哪些?【可複選，選擇五】,haven_labelled,,,,,,,,,1
s1,0,0,0,,,0,,,0,1,0,S1.請問您及您同住的家人中，包含您自己，有沒有 15歲 以上具有中華民國國籍身份的原住民,haven_labelled,,,,,,,,,1
q162_3,0,0,0,,,0,,,0,1,0,Q16-2.您或您的家人沒有申請「原住民綜合發展基金貸款」的原因有哪些?【可複選，選擇三】,haven_labelled,,,,,,,,,1
q162_4,0,0,0,,,0,,,0,1,0,Q16-2.您或您的家人沒有申請「原住民綜合發展基金貸款」的原因有哪些?【可複選，選擇四】,haven_labelled,,,,,,,,,1
q81,0,0,0,,,0,,,0,1,0,Q8-1.請問您的信用貸款、汽車貸款、信用卡、現金卡總共借了多少錢?,haven_labelled,,,,,,,,,1
q82,0,0,0,,,0,,,0,1,0,Q8-2.請問您每個月要繳的信用貸款、汽車貸款、信用卡、現金卡等的貸款金額總共是多少?,haven_labelled,,,,,,,,,1
q91,0,0,0,,,0,,,0,1,0,Q9-1.請問您的創業貸款總共借了多少錢?,haven_labelled,,,,,,,,,1
q92,0,0,0,,,0,,,0,1,0,Q9-2.請問您每個月要繳的創業貸款總共是多少?,haven_labelled,,,,,,,,,1
s2,0,0,0,,,0,,,0,1,0,S2.請問您是不是家中主要經濟來源者或主要負責家計的人?還是次要負責家計的人?,haven_labelled,,,,,,,,,1
s31_14,0,0,0,,,0,,,0,1,0,S3-1.請問您居住在【載入S3回答之縣(市)】的哪一個鄉鎮市區?,haven_labelled,,,,,,,,,1
q163_3,0,0,0,,,0,,,0,1,0,Q16-3.希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊?【可複選,haven_labelled,,,,,,,,,1
s3,0,0,0,,,0,,,0,1,0,S3.由於您這支電話是由電腦自動選擇的，請問您這支電話是在臺灣地區的哪一個縣市(居住縣,haven_labelled,,,,,,,,,1
s31_1,0,0,0,,,0,,,0,1,0,S3-1.請問您居住在【載入S3回答之縣(市)】的哪一個鄉鎮市區?,haven_labelled,,,,,,,,,1
s31_10,0,0,0,,,0,,,0,1,0,S3-1.請問您居住在【載入S3回答之縣(市)】的哪一個鄉鎮市區?,haven_labelled,,,,,,,,,1
s31_11,0,0,0,,,0,,,0,1,0,S3-1.請問您居住在【載入S3回答之縣(市)】的哪一個鄉鎮市區?,haven_labelled,,,,,,,,,1
s31_12,0,0,0,,,0,,,0,1,0,S3-1.請問您居住在【載入S3回答之縣(市)】的哪一個鄉鎮市區?,haven_labelled,,,,,,,,,1
