variable,91_1,91_2,95,99,103,106,110,years_present,count
m7_9_2,N,N,N,N,N,Y,N,106,1
n2_6_7,N,N,N,N,N,Y,N,106,1
n2_6_10,N,N,N,N,N,Y,N,106,1
n2_6_11,N,N,N,N,N,Y,N,106,1
n2_6_2,N,N,N,N,N,Y,N,106,1
n2_6_3,N,N,N,N,N,Y,N,106,1
n2_6_4,N,N,N,N,N,Y,N,106,1
n2_6_5,N,N,N,N,N,Y,N,106,1
n2_6_6,N,N,N,N,N,Y,N,106,1
n2_6_8,N,N,N,N,N,Y,N,106,1
n2_5o,N,N,N,N,N,Y,N,106,1
n2_6_9,N,N,N,N,N,Y,N,106,1
n2_6o,N,N,N,N,N,Y,N,106,1
n2o,N,N,N,N,Y,N,N,103,1
k3_o,N,N,N,N,N,Y,N,106,1
nfdisin,N,N,Y,N,N,N,N,95,1
number,N,N,N,Y,N,N,N,99,1
o1_1,N,N,N,N,N,Y,N,106,1
n2_6_1,N,N,N,N,N,Y,N,106,1
n2_5_8,N,N,N,N,N,Y,N,106,1
q13_1,N,N,Y,N,N,N,N,95,1
n2_4_3,N,N,N,N,N,Y,N,106,1
m7_9_2o,N,N,N,N,N,Y,N,106,1
n1o,N,N,N,N,N,Y,N,106,1
n2_1,N,N,N,N,N,Y,N,106,1
n2_2,N,N,N,N,N,Y,N,106,1
n2_3,N,N,N,N,N,Y,N,106,1
n2_4_1,N,N,N,N,N,Y,N,106,1
n2_4_2,N,N,N,N,N,Y,N,106,1
n2_4_4,N,N,N,N,N,Y,N,106,1
n2_5_7,N,N,N,N,N,Y,N,106,1
n2_4o,N,N,N,N,N,Y,N,106,1
n2_5_1,N,N,N,N,N,Y,N,106,1
n2_5_2,N,N,N,N,N,Y,N,106,1
n2_5_3,N,N,N,N,N,Y,N,106,1
n2_5_4,N,N,N,N,N,Y,N,106,1
n2_5_5,N,N,N,N,N,Y,N,106,1
n2_5_6,N,N,N,N,N,Y,N,106,1
o1_2,N,N,N,N,N,Y,N,106,1
o1_3,N,N,N,N,N,Y,N,106,1
o1_4,N,N,N,N,N,Y,N,106,1
q12_a_1,N,N,Y,N,N,N,N,95,1
q123,N,N,Y,N,N,N,N,95,1
q124,N,N,Y,N,N,N,N,95,1
q125,N,N,Y,N,N,N,N,95,1
q126,N,N,Y,N,N,N,N,95,1
q127,N,N,Y,N,N,N,N,95,1
q128,N,N,Y,N,N,N,N,95,1
q129,N,N,Y,N,N,N,N,95,1
q12_a_2,N,N,Y,N,N,N,N,95,1
o1_5,N,N,N,N,N,Y,N,106,1
q12_a_3,N,N,Y,N,N,N,N,95,1
q12_a_4,N,N,Y,N,N,N,N,95,1
q12_a_5,N,N,Y,N,N,N,N,95,1
q12_a_6,N,N,Y,N,N,N,N,95,1
q12_a_7,N,N,Y,N,N,N,N,95,1
q12_a_8,N,N,Y,N,N,N,N,95,1
q131,N,N,Y,N,N,N,N,95,1
q122,N,N,Y,N,N,N,N,95,1
q1214,N,N,Y,N,N,N,N,95,1
q1213,N,N,Y,N,N,N,N,95,1
q1212,N,N,Y,N,N,N,N,95,1
o1o,N,N,N,N,N,Y,N,106,1
o2,N,N,N,N,N,Y,N,106,1
q101,N,N,Y,N,N,N,N,95,1
q102,N,N,Y,N,N,N,N,95,1
q103,N,N,Y,N,N,N,N,95,1
q104,N,N,Y,N,N,N,N,95,1
q105,N,N,Y,N,N,N,N,95,1
q111,N,N,Y,N,N,N,N,95,1
q112,N,N,Y,N,N,N,N,95,1
q113,N,N,Y,N,N,N,N,95,1
q114,N,N,Y,N,N,N,N,95,1
q115,N,N,Y,N,N,N,N,95,1
q121,N,N,Y,N,N,N,N,95,1
q1210,N,N,Y,N,N,N,N,95,1
q1211,N,N,Y,N,N,N,N,95,1
k3o,N,N,N,N,N,N,Y,110,1
j7_4_2o,N,N,N,N,Y,N,N,103,1
k3_7,N,N,N,N,N,Y,N,106,1
e5,N,N,N,N,N,N,Y,110,1
e6,N,N,N,N,N,N,Y,110,1
end,N,N,N,Y,N,N,N,99,1
f1_1_10,N,N,N,N,N,Y,N,106,1
f1_1_11,N,N,N,N,N,Y,N,106,1
f1_1_12,N,N,N,N,N,Y,N,106,1
f1_1_6,N,N,N,N,N,Y,N,106,1
f1_1_7,N,N,N,N,N,Y,N,106,1
f1_1_8,N,N,N,N,N,Y,N,106,1
f1_1_9,N,N,N,N,N,Y,N,106,1
f1_1o,N,N,N,N,N,N,Y,110,1
f1_a,N,N,N,N,N,N,Y,110,1
f1_b,N,N,N,N,N,N,Y,110,1
f1_c,N,N,N,N,N,N,Y,110,1
f1_d,N,N,N,N,N,N,Y,110,1
f1o,N,N,N,N,N,N,Y,110,1
f2_1_1,N,N,N,Y,N,N,N,99,1
f2_1_2,N,N,N,Y,N,N,N,99,1
e5o,N,N,N,N,N,N,Y,110,1
e4o,N,N,N,N,N,N,Y,110,1
k3_6,N,N,N,N,N,Y,N,106,1
e4,N,N,N,N,N,N,Y,110,1
d3_1o,N,N,N,N,N,N,Y,110,1
d3_2,N,N,N,N,N,N,Y,110,1
