sample_definition,Survey Year,County,Sample N
full_sample,2010,屏東市,63
full_sample,2010,岡山鎮,73
full_sample,2010,左營區,22
full_sample,2010,平鎮市,67
full_sample,2010,延平鄉,20
full_sample,2010,彰化市,17
full_sample,2010,復興鄉,64
full_sample,2010,恆春鎮,8
full_sample,2010,成功鎮,85
full_sample,2010,文山區,18
full_sample,2010,斗六市,10
full_sample,2010,新城鄉,66
full_sample,2010,新店市,39
full_sample,2010,新營市,5
full_sample,2010,新興區,2
full_sample,2010,新莊市,19
full_sample,2010,旗津區,4
full_sample,2010,春日鄉,35
full_sample,2010,暖暖區,3
full_sample,2010,東勢鎮,24
full_sample,2010,東區,100
full_sample,2010,東河鄉,46
full_sample,2010,松山區,10
full_sample,2010,板橋市,17
full_sample,2010,枋寮鄉,20
full_sample,2010,林口鄉,8
full_sample,2010,桃園市,82
full_sample,2010,桃源鄉,32
full_sample,2010,楊梅鎮,12
full_sample,2010,楠梓區,18
full_sample,2010,樹林市,116
full_sample,2010,歸仁鄉,25
full_sample,2010,民雄鄉,3
full_sample,2010,永和市,8
full_sample,2010,永康市,8
full_sample,2010,汐止市,40
full_sample,2010,池上鄉,21
full_sample,2010,泰安鄉,34
full_sample,2010,泰山鄉,18
full_sample,2010,泰武鄉,33
full_sample,2010,海端鄉,30
full_sample,2010,湖口鄉,5
full_sample,2010,滿州鄉,39
full_sample,2010,潭子鄉,52
full_sample,2010,烏來鄉,21
full_sample,2010,烏日鄉,6
full_sample,2010,牡丹鄉,46
full_sample,2010,獅子鄉,31
full_sample,2010,獅潭鄉,14
full_sample,2010,玉里鎮,67
full_sample,2010,瑞穗鄉,38
full_sample,2010,瑪家鄉,41
full_sample,2010,神岡鄉,20
full_sample,2010,秀林鄉,101
full_sample,2010,竹北市,50
full_sample,2010,竹南鎮,1
full_sample,2010,竹東鎮,17
full_sample,2010,羅東鎮,5
full_sample,2010,臺東市,189
full_sample,2010,花蓮市,115
full_sample,2010,芳苑鄉,3
full_sample,2010,苓雅區,7
full_sample,2010,茂林鄉,13
full_sample,2010,草屯鎮,14
full_sample,2010,莿桐鄉,12
full_sample,2010,萬巒鄉,9
full_sample,2010,萬榮鄉,62
full_sample,2010,萬華區,14
full_sample,2010,蘆洲市,52
full_sample,2010,蘆竹鄉,44
full_sample,2010,蘇澳鎮,15
full_sample,2010,蘭嶼鄉,24
full_sample,2010,虎尾鎮,13
full_sample,2010,西區,21
full_sample,2010,西屯區,11
full_sample,2010,西螺鎮,16
full_sample,2010,豐原市,13
full_sample,2010,豐濱鄉,41
full_sample,2010,達仁鄉,34
full_sample,2010,那瑪夏鄉,18
full_sample,2010,金峰鄉,28
full_sample,2010,長治鄉,13
full_sample,2010,長濱鄉,55
full_sample,2010,關山鎮,21
full_sample,2010,關西鎮,42
full_sample,2010,阿里山鄉,34
full_sample,2010,霧臺鄉,24
full_sample,2010,頭份鎮,22
full_sample,2010,香山區,9
full_sample,2010,魚池鄉,11
full_sample,2010,鳳山市,16
full_sample,2010,鳳林鎮,22
full_sample,2010,鶯歌鎮,9
full_sample,2010,鹽埕區,2
full_sample,2010,鹿港鎮,13
full_sample,2010,鹿野鄉,22
full_sample,2010,麥寮鄉,2
full_sample,2010,鼓山區,12
full_sample,2010,龜山鄉,71
full_sample,2014,七堵區,8
full_sample,2014,三地門鄉,61
full_sample,2014,三峽區,24
full_sample,2014,三重區,27
full_sample,2014,中和區,23
full_sample,2014,中壢市,25
full_sample,2014,中山區,8
full_sample,2014,中正區,44
full_sample,2014,中西區,13
full_sample,2014,五峰鄉,41
full_sample,2014,五股區,3
full_sample,2014,仁愛鄉,100
full_sample,2014,來義鄉,72
full_sample,2014,信義區,21
full_sample,2014,信義鄉,69
full_sample,2014,光復鄉,64
full_sample,2014,內埔鄉,39
full_sample,2014,內湖區,15
full_sample,2014,八德市,28
full_sample,2014,八里區,26
full_sample,2014,前鎮區,25
full_sample,2014,北區,28
full_sample,2014,北屯區,45
full_sample,2014,北投區,4
full_sample,2014,卑南鄉,64
full_sample,2014,卓溪鄉,40
full_sample,2014,南區,53
full_sample,2014,南屯區,40
full_sample,2014,南庄鄉,9
full_sample,2014,南投市,45
full_sample,2014,南澳鄉,5
full_sample,2014,吉安鄉,147
full_sample,2014,和平區,33
full_sample,2014,土城區,38
full_sample,2014,埔里鎮,24
full_sample,2014,士林區,37
full_sample,2014,壽豐鄉,60
full_sample,2014,大同區,33
full_sample,2014,大同鄉,9
full_sample,2014,大寮區,40
full_sample,2014,大樹區,12
full_sample,2014,大武鄉,40
full_sample,2014,大溪鎮,31
full_sample,2014,大里區,2
full_sample,2014,大雅區,52
full_sample,2014,太平區,43
full_sample,2014,太麻里鄉,54
full_sample,2014,安定區,2
full_sample,2014,安樂區,34
full_sample,2014,宜蘭市,3
full_sample,2014,富里鄉,18
full_sample,2014,小港區,59
full_sample,2014,尖石鄉,53
full_sample,2014,屏東市,71
full_sample,2014,岡山區,30
full_sample,2014,左營區,32
full_sample,2014,平鎮市,62
full_sample,2014,延平鄉,27
full_sample,2014,彰化市,58
full_sample,2014,復興鄉,46
full_sample,2014,成功鎮,73
full_sample,2014,文山區,22
full_sample,2014,斗六市,40
full_sample,2014,新城鄉,56
full_sample,2014,新店區,66
full_sample,2014,新營區,3
full_sample,2014,新莊區,87
full_sample,2014,春日鄉,28
full_sample,2014,東區,92
full_sample,2014,東河鄉,39
full_sample,2014,松山區,16
full_sample,2014,板橋區,9
full_sample,2014,枋寮鄉,2
full_sample,2014,林口區,37
full_sample,2014,桃園市,34
full_sample,2014,桃源區,28
full_sample,2014,梧棲區,8
full_sample,2014,楊梅鎮,62
full_sample,2014,楠梓區,12
full_sample,2014,樹林區,70
full_sample,2014,橫山鄉,2
full_sample,2014,民雄鄉,25
full_sample,2014,水上鄉,1
full_sample,2014,永和區,15
full_sample,2014,永康區,31
full_sample,2014,汐止區,72
full_sample,2014,池上鄉,33
full_sample,2014,沙鹿區,2
full_sample,2014,泰安鄉,53
full_sample,2014,泰山區,2
full_sample,2014,泰武鄉,35
full_sample,2014,海端鄉,30
full_sample,2014,淡水區,3
full_sample,2014,湖口鄉,6
full_sample,2014,滿州鄉,29
full_sample,2014,潭子區,14
full_sample,2014,潮州鎮,19
full_sample,2014,烏來區,30
full_sample,2014,牡丹鄉,49
full_sample,2014,獅子鄉,34
full_sample,2014,獅潭鄉,1
full_sample,2014,玉里鎮,57
full_sample,2014,瑞穗鄉,49
full_sample,2014,瑞芳區,23
full_sample,2014,瑪家鄉,65
full_sample,2014,番路鄉,2
full_sample,2014,秀林鄉,113
full_sample,2014,竹北市,15
full_sample,2014,竹南鎮,19
full_sample,2014,竹東鎮,31
full_sample,2014,綠島鄉,4
full_sample,2014,羅東鎮,8
full_sample,2014,臺東市,162
full_sample,2014,花壇鄉,8
full_sample,2014,花蓮市,122
full_sample,2014,苓雅區,29
full_sample,2014,苗栗市,5
full_sample,2014,茂林區,17
full_sample,2014,萬丹鄉,2
full_sample,2014,萬巒鄉,19
full_sample,2014,萬榮鄉,43
full_sample,2014,萬華區,43
full_sample,2014,蘆洲區,55
full_sample,2014,蘆竹鄉,36
full_sample,2014,蘭嶼鄉,11
full_sample,2014,虎尾鎮,11
full_sample,2014,西區,40
full_sample,2014,西屯區,13
full_sample,2014,觀音鄉,15
full_sample,2014,豐原區,7
full_sample,2014,豐濱鄉,36
full_sample,2014,通霄鎮,8
full_sample,2014,達仁鄉,52
full_sample,2014,那瑪夏區,19
full_sample,2014,金峰鄉,28
full_sample,2014,長濱鄉,38
full_sample,2014,關山鎮,26
full_sample,2014,關西鎮,8
full_sample,2014,阿里山鄉,31
full_sample,2014,霧臺鄉,22
full_sample,2014,頭份鎮,24
full_sample,2014,馬公市,50
full_sample,2014,魚池鄉,25
full_sample,2014,鳳山區,58
full_sample,2014,鳳林鎮,22
full_sample,2014,鶯歌區,14
full_sample,2014,鹿野鄉,34
full_sample,2014,麥寮鄉,1
full_sample,2014,鼓山區,12
full_sample,2014,龍井區,40
full_sample,2014,龍潭鄉,71
full_sample,2014,龜山鄉,82
full_sample,2017,七堵區,10
full_sample,2017,三地門鄉,54
full_sample,2017,三峽區,23
full_sample,2017,三民區,32
full_sample,2017,三重區,21
full_sample,2017,中和區,47
full_sample,2017,中埔鄉,14
full_sample,2017,中壢區,68
full_sample,2017,中山區,3
full_sample,2017,中正區,49
full_sample,2017,五峰鄉,39
full_sample,2017,五結鄉,8
full_sample,2017,五股區,23
full_sample,2017,仁德區,21
full_sample,2017,仁愛區,10
full_sample,2017,仁愛鄉,97
full_sample,2017,仁武區,11
full_sample,2017,來義鄉,65
full_sample,2017,信義鄉,89
full_sample,2017,光復鄉,40
full_sample,2017,內湖區,14
full_sample,2017,八德區,49
full_sample,2017,八里區,2
full_sample,2017,六龜區,2
full_sample,2017,冬山鄉,4
full_sample,2017,前鎮區,5
full_sample,2017,北區,25
full_sample,2017,北屯區,35
full_sample,2017,北投區,43
full_sample,2017,北港鎮,1
full_sample,2017,卑南鄉,71
full_sample,2017,卓溪鄉,38
full_sample,2017,南區,39
full_sample,2017,南屯區,8
full_sample,2017,南庄鄉,22
full_sample,2017,南投市,17
full_sample,2017,南港區,42
full_sample,2017,南澳鄉,61
full_sample,2017,吉安鄉,128
full_sample,2017,和平區,38
full_sample,2017,和美鎮,19
full_sample,2017,員山鄉,20
full_sample,2017,員林鎮,14
full_sample,2017,土城區,54
full_sample,2017,埔心鄉,17
full_sample,2017,埔里鎮,35
full_sample,2017,士林區,13
full_sample,2017,壯圍鄉,1
full_sample,2017,壽豐鄉,60
full_sample,2017,大同區,14
full_sample,2017,大同鄉,28
full_sample,2017,大園區,69
full_sample,2017,大安區,1
full_sample,2017,大寮區,14
full_sample,2017,大武鄉,19
full_sample,2017,大溪區,12
full_sample,2017,大肚區,37
full_sample,2017,大里區,1
full_sample,2017,大雅區,5
full_sample,2017,太保市,6
full_sample,2017,太平區,75
full_sample,2017,太麻里鄉,49
full_sample,2017,官田區,20
full_sample,2017,宜蘭市,38
full_sample,2017,富里鄉,17
full_sample,2017,小港區,54
full_sample,2017,尖石鄉,52
full_sample,2017,屏東市,58
full_sample,2017,崙背鄉,1
full_sample,2017,左營區,40
full_sample,2017,平鎮區,52
full_sample,2017,延平鄉,24
full_sample,2017,彰化市,18
full_sample,2017,復興區,65
full_sample,2017,成功鎮,87
full_sample,2017,文山區,34
full_sample,2017,斗六市,16
full_sample,2017,斗南鎮,18
full_sample,2017,新化區,14
