ID,SOURCE_ID,SURVEY_TAG,DATA_Y
110::4358566,4358566,110,2021
110::4358639,4358639,110,2021
110::4358718,4358718,110,2021
110::4358845,4358845,110,2021
110::4365057,4365057,110,2021
110::4365098,4365098,110,2021
110::4365954,4365954,110,2021
110::4367190,4367190,110,2021
110::4367648,4367648,110,2021
110::4367658,4367658,110,2021
110::4367868,4367868,110,2021
110::4368131,4368131,110,2021
110::4368231,4368231,110,2021
110::4368247,4368247,110,2021
110::4368285,4368285,110,2021
110::4368528,4368528,110,2021
110::4368566,4368566,110,2021
110::4368593,4368593,110,2021
110::4372433,4372433,110,2021
110::4372577,4372577,110,2021
110::4372668,4372668,110,2021
110::4372712,4372712,110,2021
110::4372879,4372879,110,2021
110::4373450,4373450,110,2021
110::4373594,4373594,110,2021
110::4373816,4373816,110,2021
110::4373842,4373842,110,2021
110::5333608,5333608,110,2021
110::5333689,5333689,110,2021
110::5334087,5334087,110,2021
110::5337524,5337524,110,2021
110::5364996,5364996,110,2021
110::5365020,5365020,110,2021
110::5365323,5365323,110,2021
110::5365508,5365508,110,2021
110::5365516,5365516,110,2021
110::5365522,5365522,110,2021
110::5365759,5365759,110,2021
110::5366074,5366074,110,2021
110::6333773,6333773,110,2021
110::6334156,6334156,110,2021
110::6337261,6337261,110,2021
110::6337269,6337269,110,2021
110::6337346,6337346,110,2021
110::6337597,6337597,110,2021
110::6337789,6337789,110,2021
110::6364566,6364566,110,2021
110::6365150,6365150,110,2021
110::6365584,6365584,110,2021
110::6365751,6365751,110,2021
110::7333159,7333159,110,2021
110::7333276,7333276,110,2021
110::7334107,7334107,110,2021
110::7337028,7337028,110,2021
110::7337449,7337449,110,2021
110::7337750,7337750,110,2021
110::7365825,7365825,110,2021
110::8333078,8333078,110,2021
110::8333932,8333932,110,2021
110::8334025,8334025,110,2021
110::8334165,8334165,110,2021
110::8337076,8337076,110,2021
110::8337817,8337817,110,2021
110::8364564,8364564,110,2021
110::8364694,8364694,110,2021
110::8365160,8365160,110,2021
110::8365466,8365466,110,2021
110::8365835,8365835,110,2021
110::9332674,9332674,110,2021
110::9332675,9332675,110,2021
110::9333167,9333167,110,2021
110::9333439,9333439,110,2021
110::9334189,9334189,110,2021
110::9337358,9337358,110,2021
110::9337547,9337547,110,2021
110::9337618,9337618,110,2021
110::9337732,9337732,110,2021
110::9365307,9365307,110,2021
110::9365420,9365420,110,2021
110::9365494,9365494,110,2021
110::9365810,9365810,110,2021
110::1287776,1287776,110,2021
110::1291115,1291115,110,2021
110::1291120,1291120,110,2021
110::1291173,1291173,110,2021
110::1291257,1291257,110,2021
110::1291289,1291289,110,2021
110::1291346,1291346,110,2021
110::1291444,1291444,110,2021
110::1291472,1291472,110,2021
110::1291517,1291517,110,2021
110::1291519,1291519,110,2021
110::1291521,1291521,110,2021
110::1291623,1291623,110,2021
110::1292081,1292081,110,2021
110::1292082,1292082,110,2021
110::1292284,1292284,110,2021
110::1292550,1292550,110,2021
110::1292569,1292569,110,2021
110::1292595,1292595,110,2021
110::1292621,1292621,110,2021
110::1296583,1296583,110,2021
110::1298202,1298202,110,2021
110::1298234,1298234,110,2021
110::1298321,1298321,110,2021
110::1299464,1299464,110,2021
110::2287815,2287815,110,2021
110::2288043,2288043,110,2021
110::2288115,2288115,110,2021
110::2288155,2288155,110,2021
110::2291080,2291080,110,2021
110::2291102,2291102,110,2021
110::2291141,2291141,110,2021
110::2291156,2291156,110,2021
110::2291200,2291200,110,2021
110::2291241,2291241,110,2021
110::2291243,2291243,110,2021
110::2291269,2291269,110,2021
110::2291278,2291278,110,2021
110::2291336,2291336,110,2021
110::2291345,2291345,110,2021
110::2291370,2291370,110,2021
110::2291374,2291374,110,2021
110::2291407,2291407,110,2021
110::2291428,2291428,110,2021
110::2291511,2291511,110,2021
110::2291531,2291531,110,2021
110::2291654,2291654,110,2021
110::2291937,2291937,110,2021
110::2291960,2291960,110,2021
110::2292045,2292045,110,2021
110::2292195,2292195,110,2021
110::2292295,2292295,110,2021
110::2292324,2292324,110,2021
110::2297651,2297651,110,2021
110::2298189,2298189,110,2021
110::2298614,2298614,110,2021
110::2298993,2298993,110,2021
110::3287903,3287903,110,2021
110::3287922,3287922,110,2021
110::3287967,3287967,110,2021
110::3288068,3288068,110,2021
110::3288180,3288180,110,2021
110::3288264,3288264,110,2021
110::3291468,3291468,110,2021
110::3291722,3291722,110,2021
110::3291925,3291925,110,2021
110::3292150,3292150,110,2021
110::3292246,3292246,110,2021
110::3292326,3292326,110,2021
110::3292402,3292402,110,2021
110::3292482,3292482,110,2021
110::3292526,3292526,110,2021
110::3292529,3292529,110,2021
110::3292782,3292782,110,2021
110::3295881,3295881,110,2021
110::3296097,3296097,110,2021
110::3296650,3296650,110,2021
110::3297742,3297742,110,2021
110::3297901,3297901,110,2021
110::3297918,3297918,110,2021
110::3298182,3298182,110,2021
110::3298524,3298524,110,2021
110::3298971,3298971,110,2021
110::4288441,4288441,110,2021
110::4291101,4291101,110,2021
110::4292548,4292548,110,2021
110::4292608,4292608,110,2021
110::4295839,4295839,110,2021
110::4296578,4296578,110,2021
110::4296591,4296591,110,2021
110::4298239,4298239,110,2021
110::4298408,4298408,110,2021
110::4298421,4298421,110,2021
110::4298755,4298755,110,2021
110::5287873,5287873,110,2021
110::5287954,5287954,110,2021
110::5288166,5288166,110,2021
110::5288216,5288216,110,2021
110::5288244,5288244,110,2021
110::5288255,5288255,110,2021
110::5288260,5288260,110,2021
110::5288464,5288464,110,2021
110::5291852,5291852,110,2021
110::5292202,5292202,110,2021
110::5292315,5292315,110,2021
110::5292424,5292424,110,2021
110::5296321,5296321,110,2021
110::5296744,5296744,110,2021
110::5296865,5296865,110,2021
110::5297302,5297302,110,2021
110::6288177,6288177,110,2021
110::6288299,6288299,110,2021
110::6288346,6288346,110,2021
110::6288390,6288390,110,2021
110::6288429,6288429,110,2021
110::6288468,6288468,110,2021
110::6288549,6288549,110,2021
110::6292209,6292209,110,2021
110::6292514,6292514,110,2021
110::6292683,6292683,110,2021
110::6295850,6295850,110,2021
110::6297138,6297138,110,2021
110::7287835,7287835,110,2021
110::7287876,7287876,110,2021
110::7287983,7287983,110,2021
110::7287998,7287998,110,2021
110::7288086,7288086,110,2021
110::7288460,7288460,110,2021
110::7291761,7291761,110,2021
110::7292276,7292276,110,2021
110::7292609,7292609,110,2021
110::7292612,7292612,110,2021
110::7296203,7296203,110,2021
110::7296279,7296279,110,2021
110::7296370,7296370,110,2021
110::7296483,7296483,110,2021
110::7297122,7297122,110,2021
110::7297363,7297363,110,2021
110::7297863,7297863,110,2021
110::7297912,7297912,110,2021
110::7297949,7297949,110,2021
110::7298010,7298010,110,2021
110::7298099,7298099,110,2021
110::7298141,7298141,110,2021
110::7298166,7298166,110,2021
110::7298252,7298252,110,2021
110::7298488,7298488,110,2021
110::7298553,7298553,110,2021
110::7298625,7298625,110,2021
110::7298877,7298877,110,2021
110::7298913,7298913,110,2021
110::7299024,7299024,110,2021
110::8287722,8287722,110,2021
110::8287866,8287866,110,2021
