year,source_version,source_pdf,question_id,question_text,option_code,option_text,available_in_91_1,available_in_91_2,integration_note
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,22-3,請問全家每個月平均收入中，其他收入是多少?(利息、租金、民間團體補助、退休俸、兒,4,2萬元至未滿3萬元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,22-3,請問全家每個月平均收入中，其他收入是多少?(利息、租金、民間團體補助、退休俸、兒,5,3萬元至未滿4萬元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,22-3,請問全家每個月平均收入中，其他收入是多少?(利息、租金、民間團體補助、退休俸、兒,6,4萬元至未滿5萬元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,22-3,請問全家每個月平均收入中，其他收入是多少?(利息、租金、民間團體補助、退休俸、兒,7,5萬元至未滿6萬元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,22-3,請問全家每個月平均收入中，其他收入是多少?(利息、租金、民間團體補助、退休俸、兒,8,6萬元以上（請記錄金額）,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,22-3,請問全家每個月平均收入中，其他收入是多少?(利息、租金、民間團體補助、退休俸、兒,9,沒有其他收入,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23,請問您每個月家庭平均支出是多少?,1,未滿2萬元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23,請問您每個月家庭平均支出是多少?,2,2萬元至未滿3萬元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23,請問您每個月家庭平均支出是多少?,3,3萬元至未滿4萬元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23,請問您每個月家庭平均支出是多少?,4,4萬元至未滿5萬元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23,請問您每個月家庭平均支出是多少?,5,5萬元至未滿6萬元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23,請問您每個月家庭平均支出是多少?,6,6萬元至未滿7萬元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23,請問您每個月家庭平均支出是多少?,7,7萬元至未滿8萬元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23,請問您每個月家庭平均支出是多少?,8,8萬元以上（請記錄金額）,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-1,請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,1,"未滿3,000元",1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-1,請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,2,"3,000元至未滿5,000元",1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-1,請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,3,"5,000元至未滿1萬元",1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-1,請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,4,1萬元至未滿2萬元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-1,請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,5,2萬元至未滿3萬元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-1,請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,6,3萬元至未滿4萬元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-1,請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,7,4萬元至未滿5萬元,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-1,請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,8,5萬元以上（請記錄金額）,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-2,請問每個月家庭平均支出中，酒、菸、檳榔等消費是多少?,1,"未滿1,000元",1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-2,請問每個月家庭平均支出中，酒、菸、檳榔等消費是多少?,2,"1,000元至未滿3,000元",1,1,shared_in_both_versions
