year,source_pdf,question_id,question_text,option_code,option_text
91_1,ques91-1.pdf,23-3,醫療保健費用是多少？（包括看病的掛號或藥費及個人買的醫療保險費，但不包括勞保費、健保費）,7,無
91_1,ques91-1.pdf,23-4,運輸交通與通訊花費是多少？（油錢、電話費、公車費、汽機車保養費）,1,未滿1千
91_1,ques91-1.pdf,23-4,運輸交通與通訊花費是多少？（油錢、電話費、公車費、汽機車保養費）,2,1千至未滿3千元
91_1,ques91-1.pdf,23-4,運輸交通與通訊花費是多少？（油錢、電話費、公車費、汽機車保養費）,3,3千至未滿5千元
91_1,ques91-1.pdf,23-4,運輸交通與通訊花費是多少？（油錢、電話費、公車費、汽機車保養費）,4,5千至未滿 7千元
91_1,ques91-1.pdf,23-4,運輸交通與通訊花費是多少？（油錢、電話費、公車費、汽機車保養費）,5,7千元至未滿1萬元
91_1,ques91-1.pdf,23-4,運輸交通與通訊花費是多少？（油錢、電話費、公車費、汽機車保養費）,6,1萬元以上（請記錄　　元）
91_1,ques91-1.pdf,23-4,運輸交通與通訊花費是多少？（油錢、電話費、公車費、汽機車保養費）,7,無
91_1,ques91-1.pdf,24,請問您的配偶有沒有在工作？（只問有配偶的人）,1,有（含無酬家屬工作者、在家工作者（幫人家看小孩或在家做手工）、打零工）（跳答26題）
91_1,ques91-1.pdf,24,請問您的配偶有沒有在工作？（只問有配偶的人）,2,沒有
91_1,ques91-1.pdf,25,為了改善您的經濟狀況，請問您希不希望您的配偶也外出工作？（只問有配偶的人）,1,希望（跳答26題）
91_1,ques91-1.pdf,25,為了改善您的經濟狀況，請問您希不希望您的配偶也外出工作？（只問有配偶的人）,2,不希望（續答25-1題）
91_1,ques91-1.pdf,25-1,請問您為什麼不希望您的配偶外出工作？（只問有配偶的人）,1,無法找到工作。
91_1,ques91-1.pdf,25-1,請問您為什麼不希望您的配偶外出工作？（只問有配偶的人）,2,小孩無人照顧。
91_1,ques91-1.pdf,25-1,請問您為什麼不希望您的配偶外出工作？（只問有配偶的人）,3,需要照顧其他家人或料理家事
91_1,ques91-1.pdf,25-1,請問您為什麼不希望您的配偶外出工作？（只問有配偶的人）,4,改善經濟是我的責任。
91_1,ques91-1.pdf,25-1,請問您為什麼不希望您的配偶外出工作？（只問有配偶的人）,5,其他，請說明
91_1,ques91-1.pdf,26,為了改善您的經濟狀況，請問您或您的家人需不需要政府幫忙？,1,需要
91_1,ques91-1.pdf,26,為了改善您的經濟狀況，請問您或您的家人需不需要政府幫忙？,2,不需要（跳答27題）
91_1,ques91-1.pdf,26-1,您或您的家人最需要政府幫忙的事項是：,1,提供職業訓練、輔導就業或轉業。
91_1,ques91-1.pdf,26-1,您或您的家人最需要政府幫忙的事項是：,2,提供短期低利貸款來協助自行創業。
91_1,ques91-1.pdf,26-1,您或您的家人最需要政府幫忙的事項是：,3,提供長期低利貸款來協助購屋或換屋。
91_1,ques91-1.pdf,26-1,您或您的家人最需要政府幫忙的事項是：,4,其他，請說明
91_1,ques91-1.pdf,27,假如為了改善原住民經濟狀況，政府提供一筆15年年利率固定3%的低利貸款，前三年僅繳利息，第四年起開始還本金和利息，請問您會申請貸款嗎？,1,會（續答27-1題）
91_1,ques91-1.pdf,27,假如為了改善原住民經濟狀況，政府提供一筆15年年利率固定3%的低利貸款，前三年僅繳利息，第四年起開始還本金和利息，請問您會申請貸款嗎？,2,不會（跳答27-2題）
91_1,ques91-1.pdf,27-1,請問您會貸多少款項？,,
91_1,ques91-1.pdf,27-2,請問您不會申請貸款的原因？,1,沒有能力繳納利息
91_1,ques91-1.pdf,27-2,請問您不會申請貸款的原因？,2,沒有需要
91_1,ques91-1.pdf,27-2,請問您不會申請貸款的原因？,3,不知道作什麼用
91_1,ques91-1.pdf,27-2,請問您不會申請貸款的原因？,4,找不到擔保品或擔保人
91_1,ques91-1.pdf,27-2,請問您不會申請貸款的原因？,5,其他，請說明
