data_year,integrated_var,harmonized_code,harmonized_label,frequency
2010,EXP_EDU_BOOKS_COMBINED,NA,15000 - 19999元,35
2010,EXP_EDU_BOOKS_COMBINED,NA,2000 - 2999元,334
2010,EXP_EDU_BOOKS_COMBINED,NA,20000 - 29999元,26
2010,EXP_EDU_BOOKS_COMBINED,NA,3000 - 3999元,206
2010,EXP_EDU_BOOKS_COMBINED,NA,30000 元及以上,38
2010,EXP_EDU_BOOKS_COMBINED,NA,4000 - 4999元,116
2010,EXP_EDU_BOOKS_COMBINED,NA,5000 - 6999元,166
2010,EXP_EDU_BOOKS_COMBINED,NA,7000 - 9999元,115
2010,EXP_EDU_BOOKS_COMBINED,NA,999 元及以下,528
2010,EXP_EDU_BOOKS_COMBINED,NA,未回答,3
2010,EXP_EDU_TUITION,NA,NA,5027
2010,EXP_FOOD,1,"2,999 元及以下",874
2010,EXP_FOOD,2,"3,000-4,999 元",900
2010,EXP_FOOD,3,"5,000-9,999 元",1475
2010,EXP_FOOD,4,"10,000-14,999 元",1003
2010,EXP_FOOD,7,"15,000-19,999 元",425
2010,EXP_FOOD,8,"20,000-29,999 元",241
2010,EXP_FOOD,9,"30,000-39,999 元",70
2010,EXP_FOOD,10,"40,000-49,999 元",9
2010,EXP_FOOD,11,"50,000-59,999 元",9
2010,EXP_FOOD,12,"60,000-69,999 元",4
2010,EXP_FOOD,13,"70,000 元及以上，請記錄______________元",13
2010,EXP_FOOD,NA,NA,4
2010,EXP_FURNITURE,0,沒有這項支出,3458
2010,EXP_FURNITURE,NA,1000 - 1999元,432
2010,EXP_FURNITURE,NA,10000 - 14999元,23
2010,EXP_FURNITURE,NA,15000 - 19999元,7
2010,EXP_FURNITURE,NA,2000 - 2999元,213
2010,EXP_FURNITURE,NA,20000 - 29999元,16
2010,EXP_FURNITURE,NA,3000 - 3999元,69
2010,EXP_FURNITURE,NA,30000 元及以上,7
2010,EXP_FURNITURE,NA,4000 - 4999元,30
2010,EXP_FURNITURE,NA,5000 - 6999元,38
2010,EXP_FURNITURE,NA,7000 - 9999元,12
2010,EXP_FURNITURE,NA,999 元及以下,714
2010,EXP_FURNITURE,NA,未回答,8
2010,EXP_HOUSING_UTIL,1,999 元及以下,756
