Survey Year,sample_definition,Variable,Category,Count,Percentage,Missing N,Missing %
2006,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,沒有這項支出,2864,0.4763013470813238,0,0
2006,full_sample,EXP_FOOD_EXPENDITURE,"10,000-14,999元",1012,0.1894776259127504,672,0.11175785797438882
2006,full_sample,EXP_FOOD_EXPENDITURE,"15,000-19,999 元",501,0.09380265867815016,672,0.11175785797438882
2006,full_sample,EXP_FOOD_EXPENDITURE,"2,999 元及以下",709,0.1327466766523123,672,0.11175785797438882
2006,full_sample,EXP_FOOD_EXPENDITURE,"20,000-29,999 元",340,0.0636584909193035,672,0.11175785797438882
2006,full_sample,EXP_FOOD_EXPENDITURE,"3,000-4,999 元",956,0.17899269799662984,672,0.11175785797438882
2006,full_sample,EXP_FOOD_EXPENDITURE,"30,000-39,999 元",76,0.014229545029020782,672,0.11175785797438882
2006,full_sample,EXP_FOOD_EXPENDITURE,"40,000-49,999 元",7,0.001310615989515072,672,0.11175785797438882
2006,full_sample,EXP_FOOD_EXPENDITURE,"5,000-9,999 元",1659,0.3106159895150721,672,0.11175785797438882
2006,full_sample,EXP_FOOD_EXPENDITURE,"50,000-59,999 元",5,9.361542782250515e-4,672,0.11175785797438882
2006,full_sample,EXP_FOOD_EXPENDITURE,"60,000-69,999 元",1,1.872308556450103e-4,672,0.11175785797438882
2006,full_sample,EXP_FOOD_EXPENDITURE,沒有這項支出,75,0.014042314173375772,672,0.11175785797438882
2006,full_sample,EXP_FURNITURE_EXPENDITURE,"1,000-1,999元",442,0.07350740063196408,0,0
2006,full_sample,EXP_FURNITURE_EXPENDITURE,"10,000-14,999元",4,6.652253450856477e-4,0,0
2006,full_sample,EXP_FURNITURE_EXPENDITURE,"15,000-19,999元",1,1.6630633627141194e-4,0,0
2006,full_sample,EXP_FURNITURE_EXPENDITURE,"2,000-2,999元",181,0.030101446865125562,0,0
2006,full_sample,EXP_FURNITURE_EXPENDITURE,"20,000-29,999元",5,8.315316813570597e-4,0,0
