sample_definition,Survey Year,City,County,Sample N
full_sample,2006,臺中縣,大雅鄉,106
full_sample,2006,臺中縣,太平鄉,6
full_sample,2006,臺中縣,東勢鎮,2
full_sample,2006,臺中縣,梧棲鎮,5
full_sample,2006,臺中縣,沙鹿鎮,7
full_sample,2006,臺中縣,清水鎮,7
full_sample,2006,臺中縣,烏日鄉,8
full_sample,2006,臺中縣,石岡鄉,1
full_sample,2006,臺中縣,神岡鄉,3
full_sample,2006,臺中縣,豐原市,3
full_sample,2006,臺中縣,霧峰鄉,1
full_sample,2006,臺中縣,龍井鄉,6
full_sample,2006,臺北市,中山區,24
full_sample,2006,臺北市,中正區,9
full_sample,2006,臺北市,信義區,8
full_sample,2006,臺北市,內湖區,15
full_sample,2006,臺北市,北投區,10
full_sample,2006,臺北市,南港區,8
full_sample,2006,臺北市,士林區,23
full_sample,2006,臺北市,大同區,21
full_sample,2006,臺北市,大安區,8
full_sample,2006,臺北市,文山區,14
full_sample,2006,臺北市,松山區,18
full_sample,2006,臺北市,萬華區,24
full_sample,2006,臺北縣,三峽鎮,8
full_sample,2006,臺北縣,三芝鄉,2
full_sample,2006,臺北縣,三重市,34
full_sample,2006,臺北縣,中和市,18
full_sample,2006,臺北縣,五股鄉,6
full_sample,2006,臺北縣,土城市,21
full_sample,2006,臺北縣,新店市,15
full_sample,2006,臺北縣,新莊市,11
full_sample,2006,臺北縣,板橋市,30
full_sample,2006,臺北縣,林口鄉,2
full_sample,2006,臺北縣,樹林鎮,44
full_sample,2006,臺北縣,永和市,15
full_sample,2006,臺北縣,汐止鎮,2
full_sample,2006,臺北縣,泰山鄉,1
full_sample,2006,臺北縣,淡水鎮,1
full_sample,2006,臺北縣,深坑鄉,12
full_sample,2006,臺北縣,烏來鄉,20
full_sample,2006,臺北縣,瑞芳鎮,1
full_sample,2006,臺北縣,蘆洲鄉,11
full_sample,2006,臺北縣,貢寮鄉,1
full_sample,2006,臺北縣,鶯歌鎮,7
full_sample,2006,臺南市,北區,6
full_sample,2006,臺南市,南區,1
full_sample,2006,臺南市,安南區,3
full_sample,2006,臺南市,安平區,5
full_sample,2006,臺南市,未知地區,2
full_sample,2006,臺南市,東區,6
full_sample,2006,臺南縣,仁德鄉,10
full_sample,2006,臺南縣,學甲鎮,1
full_sample,2006,臺南縣,官田鄉,1
full_sample,2006,臺南縣,左鎮鄉,1
full_sample,2006,臺南縣,新化鎮,2
full_sample,2006,臺南縣,歸仁鄉,3
full_sample,2006,臺南縣,永康市,5
full_sample,2006,臺南縣,白河鎮,1
full_sample,2006,臺南縣,鹽水鎮,1
full_sample,2006,臺東縣,卑南鄉,116
full_sample,2006,臺東縣,大武鄉,35
