ID,DATA_Y
8446462,2021
8446609,2021
8446963,2021
8447481,2021
8447612,2021
8447874,2021
8448185,2021
8448215,2021
8448340,2021
8448404,2021
8448495,2021
8448638,2021
8448767,2021
8448930,2021
8449397,2021
8449732,2021
8450127,2021
8450288,2021
8450728,2021
8450914,2021
8451743,2021
8451822,2021
8452035,2021
8452195,2021
8452444,2021
8452928,2021
8452985,2021
8454432,2021
8454751,2021
8454965,2021
8456498,2021
8456809,2021
8457463,2021
8457791,2021
8457930,2021
8458302,2021
8458959,2021
8459027,2021
8459293,2021
8459421,2021
8459791,2021
8459980,2021
8459993,2021
8460137,2021
8460234,2021
8464292,2021
8464333,2021
8465965,2021
8466371,2021
8467747,2021
8468542,2021
8469479,2021
8470789,2021
9410978,2021
9411620,2021
9412549,2021
9416904,2021
9416920,2021
9417861,2021
9417982,2021
9419498,2021
9420568,2021
9420644,2021
9420801,2021
9421565,2021
9422322,2021
9423371,2021
9423536,2021
9423711,2021
9423805,2021
9424253,2021
9426761,2021
9426974,2021
9427151,2021
9427225,2021
9427634,2021
9427849,2021
9428735,2021
9429169,2021
9430860,2021
9433352,2021
9435055,2021
9435172,2021
9436150,2021
9436327,2021
9436381,2021
9442418,2021
9442459,2021
9443067,2021
9443073,2021
9444817,2021
9445544,2021
9445730,2021
9445742,2021
9445944,2021
9446025,2021
9446239,2021
9446563,2021
9446586,2021
9446712,2021
9446748,2021
9446858,2021
9447224,2021
9448473,2021
9448510,2021
9448751,2021
9449262,2021
9449292,2021
9449294,2021
9449380,2021
9449414,2021
9449482,2021
9449597,2021
9449648,2021
9449850,2021
9450145,2021
9450429,2021
9450945,2021
9451241,2021
9451507,2021
9451725,2021
9451761,2021
9451906,2021
9453612,2021
9453754,2021
9453777,2021
9454486,2021
9454579,2021
9455778,2021
9456176,2021
9456177,2021
9456830,2021
9457306,2021
9457636,2021
9457697,2021
9458288,2021
9458382,2021
9458903,2021
9459016,2021
9460316,2021
9460419,2021
9460538,2021
9460808,2021
9460893,2021
9463971,2021
9464342,2021
9465196,2021
9466018,2021
9466175,2021
9466230,2021
9466251,2021
9468601,2021
9470881,2021
9471067,2021
1376239,2021
1376250,2021
1376256,2021
1376317,2021
1376332,2021
1376351,2021
1376374,2021
1376449,2021
1376472,2021
1376475,2021
1376636,2021
1376695,2021
1376808,2021
1376984,2021
1376995,2021
1377019,2021
1377062,2021
1377085,2021
1377147,2021
1377156,2021
1377170,2021
1377189,2021
1377215,2021
1377221,2021
1377270,2021
1377285,2021
1377354,2021
1377500,2021
1377536,2021
1377538,2021
1377546,2021
1377618,2021
1377863,2021
1377912,2021
1377943,2021
1377948,2021
1378050,2021
1378064,2021
1378077,2021
1378305,2021
1378361,2021
1378411,2021
1378414,2021
1378575,2021
1378658,2021
1378778,2021
1378926,2021
1380150,2021
1380720,2021
1380945,2021
1381018,2021
1381065,2021
1381139,2021
1381158,2021
1381170,2021
1381615,2021
1381702,2021
1381841,2021
1382068,2021
1382103,2021
1385160,2021
1385167,2021
1385197,2021
1385217,2021
1385325,2021
1385327,2021
1385387,2021
1385390,2021
1385580,2021
1385614,2021
1385615,2021
1385710,2021
1385721,2021
1385772,2021
1385788,2021
1385810,2021
1385832,2021
1385909,2021
1386076,2021
1386140,2021
1386264,2021
1386295,2021
1386298,2021
1386301,2021
1386393,2021
1386453,2021
1386576,2021
1386640,2021
1388104,2021
1388107,2021
1388176,2021
1388291,2021
1388394,2021
1388548,2021
1389184,2021
1392349,2021
1392409,2021
1392470,2021
1392689,2021
1392700,2021
1392808,2021
1392818,2021
1392876,2021
1392947,2021
1393004,2021
1393017,2021
1393103,2021
1393133,2021
1393305,2021
1393506,2021
1395677,2021
1395870,2021
1396062,2021
1396149,2021
1396201,2021
1396342,2021
1396551,2021
1396674,2021
1396936,2021
1397267,2021
1397443,2021
1397464,2021
1397540,2021
1397546,2021
1397563,2021
1397711,2021
1397729,2021
1397825,2021
1397942,2021
1398033,2021
1398054,2021
1398089,2021
1398213,2021
1398463,2021
1398789,2021
1398998,2021
1399112,2021
1399149,2021
1399204,2021
1399242,2021
1399370,2021
1399589,2021
1400209,2021
1401057,2021
1401276,2021
1402254,2021
1402514,2021
2376170,2021
2376214,2021
2376245,2021
2376333,2021
2376334,2021
2376337,2021
2376397,2021
2376553,2021
2376575,2021
2376967,2021
2377086,2021
2377118,2021
2377127,2021
2377240,2021
2377259,2021
2377303,2021
2377396,2021
2377835,2021
2378288,2021
2378311,2021
2378356,2021
2378730,2021
2378742,2021
2378760,2021
2378783,2021
